ts,elapsed_s,queue_ratio_avg,queue_ratio_max,queue_depth_sum,queue_depth_max,processing_p95_s,processed_completed,processed_failed
1780586803.720,0.000,0.0,0.0,0.0,0.0,nan,0.0,5.0
1780586805.767,2.048,0.0,0.0,0.0,0.0,nan,0.0,5.0
1780586807.808,4.089,0.0,0.0,0.0,0.0,nan,0.0,5.0
1780586809.853,6.134,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586811.889,8.169,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586813.935,10.216,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586815.977,12.257,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586818.022,14.303,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586820.055,16.336,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586822.102,18.383,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586824.147,20.427,0.25,1.0,4.0,4.0,9.75,0.0,6.0
1780586826.190,22.471,0.0,0.0,0.0,0.0,8.749999999999996,0.0,10.0
1780586828.237,24.518,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586830.282,26.563,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586832.327,28.608,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586834.373,30.654,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586836.421,32.701,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586838.470,34.750,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586840.517,36.798,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586842.569,38.849,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586844.617,40.898,0.0,0.0,0.0,0.0,8.749999999999998,0.0,10.0
1780586846.661,42.942,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586848.707,44.987,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586850.750,47.030,0.0,0.0,0.0,0.0,8.749999999999998,0.0,10.0
1780586852.798,49.078,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586854.826,51.107,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586856.872,53.152,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586858.913,55.193,0.0,0.0,0.0,0.0,8.749999999999998,0.0,10.0
1780586860.958,57.238,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586863.003,59.284,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586865.052,61.333,0.0,0.0,0.0,0.0,8.749999999999996,0.0,10.0
1780586867.098,63.379,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586869.145,65.426,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586871.191,67.472,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586873.239,69.520,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586875.287,71.567,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586877.331,73.612,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586879.378,75.658,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586881.425,77.706,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586883.456,79.736,0.0,0.0,0.0,0.0,8.749999999999996,0.0,10.0
1780586885.503,81.784,0.0,0.0,0.0,0.0,8.749999999999998,0.0,10.0
1780586887.549,83.830,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586889.594,85.875,0.0,0.0,0.0,0.0,8.749999999999998,0.0,10.0
1780586891.640,87.921,0.0,0.0,0.0,0.0,8.75,0.0,10.0
1780586893.685,89.966,0.0,0.0,0.0,0.0,8.749999999999996,0.0,10.0
