ts,elapsed_s,target,queue_depth,queue_ratio,max_queue_size,workers,processed_completed,processed_failed,processing_count,processing_sum
1780593554.822,0.000,old,0.0,0.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593554.822,0.000,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593555.350,0.529,old,0.0,0.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593555.350,0.529,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593555.872,1.050,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593555.872,1.050,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593556.402,1.580,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593556.402,1.580,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593556.923,2.101,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593556.923,2.101,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593557.445,2.623,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593557.445,2.623,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593557.965,3.143,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593557.965,3.143,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593558.486,3.664,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593558.486,3.664,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593559.006,4.184,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593559.006,4.184,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593559.527,4.705,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593559.527,4.705,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593560.049,5.227,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593560.049,5.227,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593560.571,5.749,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593560.571,5.749,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593561.093,6.271,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593561.093,6.271,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593561.614,6.792,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593561.614,6.792,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593562.136,7.314,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593562.136,7.314,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593562.657,7.836,old,4.0,1.0,4.0,1.0,0.0,6.0,6.0,205.75921078995452
1780593562.657,7.836,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
