ts,elapsed_s,target,queue_depth,queue_ratio,max_queue_size,workers,processed_failed,processing_count,processing_sum
1780593508.477,0.000,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593508.514,0.038,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593509.525,1.048,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593509.537,1.061,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593510.547,2.070,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593510.557,2.080,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593511.565,3.089,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593511.574,3.098,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593512.584,4.107,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593512.593,4.116,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593513.601,5.125,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593513.611,5.134,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593514.620,6.143,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593514.629,6.153,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593515.638,7.162,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593515.648,7.171,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593516.656,8.180,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593516.666,8.189,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593517.675,9.198,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593517.684,9.208,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593518.692,10.215,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593518.700,10.223,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593519.708,11.231,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593519.718,11.241,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593520.727,12.250,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593520.736,12.260,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593521.746,13.269,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593521.755,13.278,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593522.763,14.286,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593522.773,14.296,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593523.781,15.304,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593523.791,15.314,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593524.800,16.324,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593524.810,16.334,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593525.819,17.342,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593525.828,17.351,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593526.836,18.360,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593526.846,18.369,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593527.854,19.377,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593527.863,19.386,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593528.875,20.398,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593528.884,20.407,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593529.893,21.416,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593529.903,21.426,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593530.911,22.435,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593530.921,22.444,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1780593531.929,23.453,old,0.0,0.0,4.0,1.0,6.0,6.0,205.75921078995452
1780593531.939,23.462,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0
