ts,elapsed_s,queue_ratio_avg,queue_ratio_max,queue_depth_sum,queue_depth_max,processing_p95_s,processed_completed,processed_failed
1780586572.463,0.000,0.0,0.0,0.0,0.0,nan,0.0,0.0
1780586574.510,2.046,1.0,1.0,4.0,4.0,nan,0.0,0.0
1780586576.555,4.092,1.0,1.0,4.0,4.0,nan,0.0,0.0
1780586578.599,6.136,1.0,1.0,4.0,4.0,nan,0.0,0.0
1780586580.644,8.181,1.0,1.0,4.0,4.0,nan,0.0,0.0
1780586582.675,10.212,1.0,1.0,4.0,4.0,nan,0.0,0.0
1780586584.704,12.241,1.0,1.0,4.0,4.0,nan,0.0,0.0
1780586586.751,14.288,1.0,1.0,4.0,4.0,nan,0.0,0.0
1780586588.797,16.334,0.0,0.0,0.0,0.0,9.0,0.0,4.0
1780586590.825,18.362,0.0,0.0,0.0,0.0,9.0,0.0,4.0
1780586592.863,20.400,0.0,0.0,0.0,0.0,9.0,0.0,4.0
1780586594.908,22.445,0.0,0.0,0.0,0.0,8.999999999999998,0.0,4.0
1780586596.952,24.489,0.0,0.0,0.0,0.0,9.0,0.0,4.0
1780586598.997,26.534,0.0,0.0,0.0,0.0,9.0,0.0,4.0
1780586601.042,28.578,0.0,0.0,0.0,0.0,9.0,0.0,4.0
1780586603.089,30.626,0.0,0.0,0.0,0.0,9.0,0.0,4.0
1780586605.137,32.674,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586607.184,34.721,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586609.230,36.767,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586611.270,38.807,0.0,0.0,0.0,0.0,8.749999999999998,0.0,5.0
1780586613.316,40.853,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586615.354,42.891,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586617.408,44.945,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586619.456,46.993,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586621.503,49.040,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586623.526,51.063,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586625.572,53.109,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586627.619,55.156,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586629.666,57.203,0.0,0.0,0.0,0.0,8.749999999999998,0.0,5.0
1780586631.712,59.249,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586633.760,61.296,0.0,0.0,0.0,0.0,8.749999999999996,0.0,5.0
1780586635.803,63.340,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586637.847,65.384,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586639.892,67.429,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586641.937,69.474,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586643.983,71.520,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586646.029,73.566,0.0,0.0,0.0,0.0,8.749999999999998,0.0,5.0
1780586648.077,75.613,0.0,0.0,0.0,0.0,8.749999999999998,0.0,5.0
1780586650.121,77.658,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586652.168,79.705,0.0,0.0,0.0,0.0,8.749999999999998,0.0,5.0
1780586654.211,81.748,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586656.258,83.795,0.0,0.0,0.0,0.0,8.75,0.0,5.0
1780586658.303,85.839,0.0,0.0,0.0,0.0,8.749999999999998,0.0,5.0
1780586660.350,87.887,0.0,0.0,0.0,0.0,8.749999999999998,0.0,5.0
1780586662.395,89.932,0.0,0.0,0.0,0.0,8.75,0.0,5.0
